Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
620,SBI Magnum Low Duration Fund Direct Plan Growth,"₹10,050.77Cr","2,934.11",Nil,3,500.0,,,100.00302166,0.0,233.6,5.99,SBI Magnum Low Duration Fund Direct Plan Growth,Moderate,Debt,3.59,5.54,6.37,https://groww.in/mutual-funds/sbi-ultra-short-term-debt-fund-direct-growth
621,Mahindra Manulife Low Duration Fund Direct Growth,₹484.76Cr,"1,411.77",Nil,4,500.0,,,100.0,0.0,235.4322781,6.22249853,Mahindra Manulife Low Duration Fund Direct Growth,Moderate,Debt,3.62,5.54,6.44,https://groww.in/mutual-funds/mahindra-alp-samay-bachat-yojana-direct-growth
622,Baroda BNP Paribas Corporate Bond Fund Direct Growth,₹27.98Cr,23.24,Nil,1,500.0,,,100.0,0.0,1017.2868791,6.79237796,Baroda BNP Paribas Corporate Bond Fund Direct Growth,Moderate,Debt,0.97,5.53,4.4,https://groww.in/mutual-funds/baroda-bnp-paribas-corporate-bond-fund-direct-growth
623,DSP Bond Direct Growth,₹346.08Cr,69.14,Nil,2,500.0,,,100.0,0.0,1365.1,6.75,DSP Bond Direct Growth,Moderate,Debt,2.29,5.51,4.76,https://groww.in/mutual-funds/dsp-blackrock-bond-fund-direct-growth
624,L&amp;T Flexi Bond Fund Direct Growth,₹54.28Cr,25.59,Exit load of 0.50% if redeemed within 1 year,3,54.28,,,100.0,0.0,160.6,4.4,L&amp;T Flexi Bond Fund Direct Growth,Low to Moderate,Debt,2.53,5.48,6.42,https://groww.in/mutual-funds/l-t-flexi-bond-fund-direct-growth
625,L&amp;T Money Market Fund Direct Growth,₹851.93Cr,22.44,Nil,2,851.93,,,100.0,0.0,156.95,5.48,L&amp;T Money Market Fund Direct Growth,Low to Moderate,Debt,3.56,5.44,6.18,https://groww.in/mutual-funds/l-t-floating-rate-fund-direct-cumulative
626,Axis Ultra Short Term Fund Direct Growth,"₹5,342.34Cr",12.62,Nil,5,5342.34,,,99.99967617,0.0,142.0000015,6.03131038,Axis Ultra Short Term Fund Direct Growth,Moderate,Debt,4.07,5.39,,https://groww.in/mutual-funds/axis-ultra-short-term-fund-direct-growth
627,Nippon India Gilt Securities Fund Direct Growth,"₹1,174.25Cr",33.62,Exit load of 0.25% if redeemed within 7 days.,3,100.0,,,100.00217161,0.0,1711.85,6.43,Nippon India Gilt Securities Fund Direct Growth,Low to Moderate,Debt,1.35,5.39,6.98,https://groww.in/mutual-funds/nippon-india-gilt-securities-fund-direct-growth
628,Nippon India Gilt Securities Fund Direct Defined Maturity Date Growth,"₹1,174.25Cr",33.71,Exit load of 0.25% if redeemed within 7 days.,3,100.0,,,100.00217161,0.0,1711.85,6.43,Nippon India Gilt Securities Fund Direct Defined Maturity Date Growth,Low to Moderate,Debt,1.35,5.39,6.98,https://groww.in/mutual-funds/nippon-india-gilt-securities-fund-direct-defined-maturity-date-growth
629,Invesco India Banking &amp; PSU Debt Fund Direct Growth,₹233.93Cr,"1,949.01",Nil,1,233.93,,,100.0,0.0,1178.95,6.61,Invesco India Banking &amp; PSU Debt Fund Direct Growth,Moderate,Debt,0.92,5.37,6.31,https://groww.in/mutual-funds/invesco-india-bank-debt-fund-direct-growth
630,Aditya Birla Sun Life Money Manager Fund Direct Growth,"₹12,134.66Cr",302.20,Nil,5,12134.66,,,100.0,0.0,197.1,6.3,Aditya Birla Sun Life Money Manager Fund Direct Growth,Moderate,Debt,3.95,5.37,6.43,https://groww.in/mutual-funds/birla-sun-life-floating-rate-fund-short-term-plan-direct-growth
631,HDFC Money Market Fund Direct Plan Growth,"₹12,713.27Cr","4,706.79",Nil,4,300.0,,,100.0,0.0,127.24101115,5.81231184,HDFC Money Market Fund Direct Plan Growth,Moderate,Debt,3.93,5.37,6.32,https://groww.in/mutual-funds/hdfc-cash-management-fund-savings-plan-direct-growth
632,IDFC Low Duration Fund Direct Growth,"₹6,420.61Cr",32.10,Nil,3,100.0,,,100.00666759,0.0,346.00000165,6.1,IDFC Low Duration Fund Direct Growth,Low to Moderate,Debt,3.35,5.36,6.25,https://groww.in/mutual-funds/idfc-low-short-term-fund-direct-growth
633,Canara Robeco Income Direct Growth,₹124.89Cr,49.86,Exit load of 1.00% if amount is redeemed / switched out within 12 months from the date of allotment.,3,124.89,,,99.99999998999999,0.0,1292.1,6.7,Canara Robeco Income Direct Growth,Moderate,Debt,1.53,5.36,6.24,https://groww.in/mutual-funds/canara-robeco-i-come-scheme-direct-growth
634,JM Dynamic Bond Fund Direct Growth,₹49.60Cr,35.58,Nil,3,500.0,,,99.99999996999999,0.0,330.8725,4.87,JM Dynamic Bond Fund Direct Growth,Moderate,Debt,3.6,5.36,6.33,https://groww.in/mutual-funds/jm-floater-long-term-fund-direct-growth
635,Tata Money Market Fund Direct Growth,"₹6,742.59Cr","3,867.63",Nil,5,500.0,,,99.99999962,0.0,139.35766795,5.63,Tata Money Market Fund Direct Growth,Moderate,Debt,4.04,5.35,4.8,https://groww.in/mutual-funds/tata-money-market-fund-direct-growth
636,LIC MF Govt. Securities Fund Direct Growth,₹54.84Cr,53.00,Exit load of 0.25% if redeemed within 30 days,4,54.84,,,99.99999997,0.0,405.90999935,5.27,LIC MF Govt. Securities Fund Direct Growth,Low to Moderate,Debt,1.64,5.35,6.61,https://groww.in/mutual-funds/lic-mf-g-sec-fund-direct-growth
637,Nippon India Ultra Short Duration Fund Direct Growth,"₹3,399.37Cr","3,575.99",Nil,2,100.0,,,100.00525511,0.0,187.99999885,6.05,Nippon India Ultra Short Duration Fund Direct Growth,Moderately High,Debt,4.72,5.32,5.95,https://groww.in/mutual-funds/nippon-india-ultra-short-duration-fund-direct-growth
638,HDFC Ultra Short Term Fund Direct Growth,"₹12,720.36Cr",12.55,Nil,4,300.0,,,100.0,0.0,155.1172255,5.84655884,HDFC Ultra Short Term Fund Direct Growth,Moderate,Debt,3.81,5.31,,https://groww.in/mutual-funds/hdfc-ultra-short-term-fund-direct-growth
639,ICICI Prudential Constant Maturity Gilt Fund Direct Growth,₹506.78Cr,19.57,Nil,,506.78,,,99.99999998,0.0,3471.15,7.38,ICICI Prudential Constant Maturity Gilt Fund Direct Growth,Moderate,Debt,-0.1,5.28,7.14,https://groww.in/mutual-funds/icici-prudential-constant-maturity-gilt-fund-direct-growth
640,Sundaram Banking &amp; PSU Debt Fund Direct Growth,₹791.19Cr,35.24,Nil,2,250.0,,,100.0,0.0,730.45392495,6.6552214,Sundaram Banking &amp; PSU Debt Fund Direct Growth,Low to Moderate,Debt,2.05,5.25,5.89,https://groww.in/mutual-funds/sundaram-flexible-fund-short-term-direct-growth
641,Mirae Asset Savings Fund Direct Plan Growth,₹694.06Cr,"1,983.88",Nil,3,694.06,,,99.99999979,0.0,313.3099994,6.11,Mirae Asset Savings Fund Direct Plan Growth,Low to Moderate,Debt,3.56,5.24,5.86,https://groww.in/mutual-funds/mirae-asset-savings-fund-direct-growth
642,SBI Savings Fund Direct Growth,"₹19,883.98Cr",35.94,Exit load of 0.10% if redeemed within 3 days,4,500.0,,,100.0,0.0,149.65,5.58,SBI Savings Fund Direct Growth,Moderate,Debt,3.87,5.23,6.23,https://groww.in/mutual-funds/sbi-savings-fund-direct-growth
643,Nippon India Income Fund Direct Growth,₹220.32Cr,78.06,Exit load of 0.25% if redeemed within 15 days,3,100.0,,,100.00599139,0.0,3000.3,6.15,Nippon India Income Fund Direct Growth,Low to Moderate,Debt,1.86,5.22,6.33,https://groww.in/mutual-funds/nippon-india-i-come-fund-direct-growth
644,Nippon India Money Market Fund Direct Growth,"₹9,122.61Cr","3,390.82",Nil,4,100.0,,,100.0,0.0,137.99999935,5.61,Nippon India Money Market Fund Direct Growth,Moderate,Debt,4.06,5.19,6.28,https://groww.in/mutual-funds/nippon-india-money-market-fund-direct-growth
645,Kotak Savings Fund Direct Growth,"₹11,303.23Cr",36.45,Nil,4,11303.23,,,100.00000885,0.0,157.8625,5.6652,Kotak Savings Fund Direct Growth,Low to Moderate,Debt,3.89,5.18,6.2,https://groww.in/mutual-funds/kotak-treasury-advantage-fund-direct-growth
646,PGIM India Gilt Direct Plan Growth,₹148.36Cr,25.81,Nil,3,148.36,,,99.99999999,0.0,1087.7,6.17,PGIM India Gilt Direct Plan Growth,Low to Moderate,Debt,2.58,5.18,6.43,https://groww.in/mutual-funds/pgim-india-gilt-direct-plan-growth
647,ICICI Prudential Money Market Direct Growth,"₹10,660.18Cr",310.21,Nil,3,100.0,,,99.99999973999999,0.0,137.26999935,5.56,ICICI Prudential Money Market Direct Growth,Moderate,Debt,3.84,5.16,6.21,https://groww.in/mutual-funds/icici-prudential-money-market-fund-direct-growth
648,Mirae Asset Dynamic Bond Fund Direct Growth,₹239.75Cr,14.22,Nil,3,239.75,,,99.9999999,0.0,1631.55,7.37,Mirae Asset Dynamic Bond Fund Direct Growth,Moderate,Debt,1.2,5.16,6.57,https://groww.in/mutual-funds/mirae-asset-dynamic-bond-fund-direct-growth
649,UTI Money Market Fund Direct Growth,"₹8,198.39Cr","2,519.21",Nil,3,500.0,,,99.9999997,0.0,140.087,5.5407,UTI Money Market Fund Direct Growth,Moderate,Debt,3.97,5.13,6.24,https://groww.in/mutual-funds/uti-money-market-direct-growth
650,Tata Arbitrage Fund Direct Growth,"₹8,386.41Cr",12.13,0.25% if redeemed within 30 days.,5,150.0,18.28956719,2.42741564,99.92468668,0.07531359,185.95034135,5.72,Tata Arbitrage Fund Direct Growth,Low,Hybrid,3.98,5.1,,https://groww.in/mutual-funds/tata-arbitrage-fund-direct-growth
651,Franklin India Savings Fund Direct Growth,₹842.10Cr,41.91,Nil,2,500.0,,,99.99999992,0.0,149.6332319,5.41868434,Franklin India Savings Fund Direct Growth,Low to Moderate,Debt,3.67,5.1,6.23,https://groww.in/mutual-funds/franklin-india-savings-plus-fund-direct-growth
652,L&amp;T Gilt Fund Direct Growth,₹236.31Cr,60.30,Nil,2,236.31,,,100.0,0.0,299.3,4.98,L&amp;T Gilt Fund Direct Growth,Moderate,Debt,1.84,5.08,6.13,https://groww.in/mutual-funds/l-t-gilt-investment-direct-growth
653,Indiabulls Dynamic Bond Fund Direct Growth,₹24.14Cr,"1,249.43",Nil,4,500.0,,,99.99999996999999,0.0,554.8,6.26,Indiabulls Dynamic Bond Fund Direct Growth,Low to Moderate,Debt,2.72,5.08,,https://groww.in/mutual-funds/indiabulls-dynamic-bond-fund-direct-growth
654,HSBC Short Duration Fund Direct Growth,₹155.19Cr,35.03,Nil,1,500.0,,,100.0001,0.0,554.8,6.54,HSBC Short Duration Fund Direct Growth,Low to Moderate,Debt,2.69,5.04,4.09,https://groww.in/mutual-funds/hsbc-i-come-fund-s-t-p-direct-growth
655,Canara Robeco Savings Fund Direct Growth,"₹1,053.75Cr",35.15,Nil,3,1053.75,,,100.0,0.0,197.1,5.64,Canara Robeco Savings Fund Direct Growth,Low to Moderate,Debt,3.37,5.04,6.0,https://groww.in/mutual-funds/canara-robeco-savings-plus-fund-direct-growth
656,Quant Liquid Direct Plan Growth,₹679.45Cr,34.74,"Exit load of 0.0070% if redeemed within 1 day, 0.0065% if redeemed within 2 days, 0.0060% if redeemed within 3 days, 0.0055% if redeemed within 4 days, 0.0050% if redeemed within 5 days, 0.0045% if redeemed within 6 days.",5,679.45,,,100.0,0.0,21.00000125,4.3,Quant Liquid Direct Plan Growth,Moderate,Debt,4.19,5.03,5.94,https://groww.in/mutual-funds/quant-liquid-direct-plan-growth
657,Kotak Money Market Fund Direct Growth,"₹14,187.72Cr","3,663.48",Nil,3,14187.72,,,100.0,0.0,139.065,5.8573,Kotak Money Market Fund Direct Growth,Low to Moderate,Debt,3.97,5.01,6.11,https://groww.in/mutual-funds/kotak-floater-short-term-direct-growth
658,Tata Ultra Short Term Fund Direct Growth,"₹1,235.38Cr",12.04,Nil,4,500.0,,,99.99999985,0.0,111.92146475,5.48,Tata Ultra Short Term Fund Direct Growth,Low to Moderate,Debt,4.02,5.01,,https://groww.in/mutual-funds/tata-ultra-short-term-fund-direct-growth
659,Baroda BNP Paribas Dynamic Bond Plan Direct Growth,₹121.40Cr,39.74,Nil,2,500.0,,,100.00667194,0.0,1272.8319858,5.71666458,Baroda BNP Paribas Dynamic Bond Plan Direct Growth,Moderate,Debt,2.69,5.0,5.56,https://groww.in/mutual-funds/baroda-bnp-paribas-dynamic-bond-plan-direct-growth
660,Edelweiss Arbitrage Fund Direct Growth,"₹6,992.80Cr",16.69,"Exit load of 0.1%, if redeemed within 30 days.",5,500.0,14.71950611,2.03810559,99.90820000000001,0.11072948,80.3,5.25,Edelweiss Arbitrage Fund Direct Growth,Low,Hybrid,4.3,4.99,5.8,https://groww.in/mutual-funds/edelweiss-arbitrage-fund-direct-growth
661,SBI Magnum Ultra Short Duration Fund Direct Growth,"₹10,273.40Cr","4,943.84",Nil,3,500.0,,,100.0,0.0,171.55,5.56,SBI Magnum Ultra Short Duration Fund Direct Growth,Low to Moderate,Debt,3.63,4.98,6.14,https://groww.in/mutual-funds/sbi-magnum-insta-cash-direct-growth
662,Invesco India Ultra Short Term Fund Direct Growth,₹758.41Cr,"2,333.65",Nil,4,758.41,,,100.0,0.0,142.9999993,5.58,Invesco India Ultra Short Term Fund Direct Growth,Low to Moderate,Debt,3.81,4.95,6.09,https://groww.in/mutual-funds/invesco-india-medium-term-bond-fund-direct-growth
663,Nippon India Japan Equity Fund Direct Growth,₹212.27Cr,14.83,Exit load of 1% if redeemed within 1 year.,,212.27,13.41572913,1.40925555,6.25,93.75,,,Nippon India Japan Equity Fund Direct Growth,Very High,Equity,-16.76,4.93,5.7,https://groww.in/mutual-funds/nippon-india-japan-equity-fund-direct-growth
664,Edelweiss Money Market Fund Direct Growth,₹339.85Cr,25.50,Nil,4,339.85,,,100.0,0.0,160.6,5.67,Edelweiss Money Market Fund Direct Growth,Low to Moderate,Debt,3.53,4.93,6.4,https://groww.in/mutual-funds/edelweiss-bond-fund-direct-growth
665,Nippon India Dynamic Bond Fund Direct Growth,"₹3,070.46Cr",31.27,Nil,2,100.0,,,100.00015633,0.0,2920.0,7.69,Nippon India Dynamic Bond Fund Direct Growth,Moderate,Debt,1.79,4.9,5.5,https://groww.in/mutual-funds/nippon-india-dynamic-bond-fund-direct-growth
666,Invesco India Arbitrage Fund Direct Growth,"₹1,094.64Cr",27.59,Exit load of 0.50% if redeemed within 15 days,4,500.0,17.82713335,2.05466524,99.97,0.02999087,,,Invesco India Arbitrage Fund Direct Growth,Low,Hybrid,4.46,4.89,5.61,https://groww.in/mutual-funds/invesco-india-arbitrage-fund-direct-growth
667,HDFC Gilt Fund Direct Plan Growth,"₹1,665.78Cr",46.13,Nil,2,300.0,,,100.0,0.0,1745.5976591,6.5789852,HDFC Gilt Fund Direct Plan Growth,Moderate,Debt,1.34,4.88,5.2,https://groww.in/mutual-funds/hdfc-gilt-fund-long-term-plan-direct-growth-
668,IDFC Money Manager Fund Direct Growth,"₹2,851.39Cr",35.29,Nil,2,100.0,,,100.0,0.0,144.00000075,5.79,IDFC Money Manager Fund Direct Growth,Low to Moderate,Debt,3.75,4.87,5.66,https://groww.in/mutual-funds/idfc-money-manager-treasury-plan-direct-growth
669,Axis Arbitrage Fund Direct Growth,"₹5,303.09Cr",16.38,Exit load of 0.25% if redeemed within 7 days.,5,5303.09,18.87306953,2.5955038,99.83997600000001,0.16000189,96.9999983,5.45210286,Axis Arbitrage Fund Direct Growth,Low,Hybrid,4.54,4.86,5.7,https://groww.in/mutual-funds/axis-enhanced-arbitrage-fund-direct-growth
670,IDFC Bond Fund Income Plan Direct Growth,₹541.79Cr,57.64,"For units in excess of 10% of the investment, 1% will be charged for redemption within 365 days",3,541.79,,,100.0,0.0,1741.05,7.26,IDFC Bond Fund Income Plan Direct Growth,Moderate,Debt,0.43,4.85,5.94,https://groww.in/mutual-funds/idfc-super-saver-i-come-fund-investment-direct-growth
671,IDFC Ultra Short Term Fund Direct Growth,"₹3,789.76Cr",12.54,Nil,3,100.0,,,100.0,0.0,167.00000125,5.78,IDFC Ultra Short Term Fund Direct Growth,Low to Moderate,Debt,3.59,4.85,,https://groww.in/mutual-funds/idfc-ultra-short-term-fund-direct-growth
672,DSP Savings Direct Plan Growth,"₹2,408.40Cr",44.02,Nil,2,500.0,,,100.0,0.0,262.8,6.08,DSP Savings Direct Plan Growth,Moderate,Debt,3.24,4.85,5.92,https://groww.in/mutual-funds/dsp-blackrock-treasury-bill-fund-direct-growth
673,L&amp;T Ultra Short Term Fund Direct Growth,"₹1,478.58Cr",36.77,Nil,3,1478.58,,,100.0002029,0.0,167.9,5.49,L&amp;T Ultra Short Term Fund Direct Growth,Low to Moderate,Debt,3.67,4.84,5.96,https://groww.in/mutual-funds/l-t-ultra-short-term-fund-direct-growth
674,DSP Ultra Short Fund Direct Plan Growth,"₹2,535.81Cr","2,995.33",Nil,3,500.0,,,100.0,0.0,116.8,5.49,DSP Ultra Short Fund Direct Plan Growth,Moderate,Debt,3.79,4.84,5.6,https://groww.in/mutual-funds/dsp-blackrock-money-manager-fund-direct-growth
675,Invesco India Money Market Fund Direct Growth,"₹1,813.83Cr","2,556.63",Nil,3,1813.83,,,100.0,0.0,268.9999995,6.17,Invesco India Money Market Fund Direct Growth,Low to Moderate,Debt,3.32,4.84,5.95,https://groww.in/mutual-funds/invesco-india-credit-opportunities-fund-direct-growth
676,Baroda BNP Paribas Ultra Short Duration Fund Direct Growth,₹166.84Cr,"1,264.80",Nil,3,500.0,,,100.0,0.0,222.65,5.67,Baroda BNP Paribas Ultra Short Duration Fund Direct Growth,Low to Moderate,Debt,3.94,4.84,,https://groww.in/mutual-funds/baroda-pioneer-ultra-short-duration-fund-direct-growth
677,Kotak Equity Arbitrage Fund Direct Growth,"₹25,788.79Cr",32.08,Exit load of 0.25% if redeemed within 30 days,4,500.0,16.57456852,2.45932209,89.1680696,0.13474002,0.9855,4.1145,Kotak Equity Arbitrage Fund Direct Growth,Low,Hybrid,4.25,4.83,5.66,https://groww.in/mutual-funds/kotak-equity-arbitrage-fund-direct-growth
678,Taurus Liquid Fund Super Institutional Direct Growth,04 Nov 2020,"1,990.12",,₹13.64 Cr,,0.0,0.0,100.0,0.0,3.65,3.03,Taurus Liquid Fund Super Institutional Direct Growth,Low,Debt,3.24,4.81,4.59,https://groww.in/mutual-funds/taurus-liquid-fund-direct-growth
679,Nippon India Arbitrage Fund Direct Growth,"₹10,809.24Cr",23.10,Exit load of 0.25% if redeemed within 1 month,4,100.0,18.11496273,2.37784548,99.53748142,0.46257886,32.99787245,2.69640622,Nippon India Arbitrage Fund Direct Growth,Low,Hybrid,4.14,4.81,5.8,https://groww.in/mutual-funds/nippon-india-arbitrage-fund-direct-growth
680,Sundaram Money Direct Growth,"₹3,144.09Cr",44.51,"Exit load of 0.0070% if redeemed within 1 day, 0.0065% if redeemed within 2 days, 0.0060% if redeemed within 3 days, 0.0055% if redeemed within 4 days, 0.0050% if redeemed within 5 days, 0.0045% if redeemed within 6 days.",4,3144.09,,,99.9999995,0.0,23.34733815,3.62026974,Sundaram Money Direct Growth,Low to Moderate,Debt,3.38,4.79,5.71,https://groww.in/mutual-funds/sundaram-money-fund-direct-growth
681,L&amp;T Arbitrage Opportunities Fund Direct Growth,"₹2,978.72Cr",16.43,Exit load of 0.50% if redeemed within 1 month,4,500.0,18.45284713,2.40060451,99.90075629,0.09941193,189.8,5.33990697,L&amp;T Arbitrage Opportunities Fund Direct Growth,Low,Hybrid,3.74,4.79,5.62,https://groww.in/mutual-funds/l-t-arbitrage-opportunities-fund-direct-growth
682,Principal Retirement Savings Fund Progressive Plan Direct Growth,₹2.53Cr,16.09,Nil,,2.53,31.85130904,4.05670606,9.229999999999999,90.77,0.0,0.0,Principal Retirement Savings Fund Progressive Plan Direct Growth,Moderately High,Solution Oriented,14.2,4.77,9.65,https://groww.in/mutual-funds/principal-asset-allocation-fund-of-funds-aggressive-plan-direct-growth
683,BOI AXA Ultra Short Duration Fund Direct Bonus,₹125.23Cr,"2,674.12",Nil,2,125.23,,,100.0,0.0,131.4,5.44,BOI AXA Ultra Short Duration Fund Direct Bonus,Low to Moderate,Debt,3.2,4.77,5.97,https://groww.in/mutual-funds/boi-axa-treasury-advantage-fund-direct-bonus
684,Baroda BNP Paribas Arbitrage Fund Direct Growth,₹579.14Cr,13.68,Exit load of 0.25% if redeemed within 1 month,3,500.0,18.60863797,2.27013957,99.97,0.03,189.8,5.29,Baroda BNP Paribas Arbitrage Fund Direct Growth,Low,Hybrid,3.74,4.75,5.61,https://groww.in/mutual-funds/baroda-bnp-paribas-arbitrage-fund-direct-growth
685,L&amp;T Credit Risk Fund Direct Growth,₹163.95Cr,24.99,Exit load of 1% if units in excess of 10% are redeemed or switched-out within 1 year,2,163.95,,,100.0,0.0,784.75,10.32,L&amp;T Credit Risk Fund Direct Growth,Moderate,Debt,5.04,4.75,5.04,https://groww.in/mutual-funds/l-t-i-come-opportunities-fund-direct-growth
686,Canara Robeco Gilt Fund Direct Growth,₹84.73Cr,64.66,Nil,3,84.73,,,99.99999998999999,0.0,1759.3,7.04,Canara Robeco Gilt Fund Direct Growth,Moderate,Debt,1.95,4.74,5.57,https://groww.in/mutual-funds/canara-robeco-gilt-pgs-direct-growth
687,UTI Banking and Financial Services Fund Direct Plan Growth,₹675.05Cr,120.33,"Exit load of 1%, if redeemed within 30 days.",2,500.0,17.16028044,2.17949541,2.35,97.66,,,UTI Banking and Financial Services Fund Direct Plan Growth,Very High,Equity,-0.97,4.73,4.11,https://groww.in/mutual-funds/uti-banking-sector-fund-direct-growth
688,Canara Robeco Dynamic Bond Fund Direct Growth,₹123.16Cr,25.96,Exit load of 0.50% if redeemed within 90 days,3,123.16,,,100.0,0.0,1379.7,6.76,Canara Robeco Dynamic Bond Fund Direct Growth,Low to Moderate,Debt,2.21,4.72,5.33,https://groww.in/mutual-funds/canara-robeco-dynamic-bond-fund-direct-growth
689,Aditya Birla Sun Life Arbitrage Fund Direct Growth,"₹7,725.28Cr",23.02,Exit load of 0.25% if redeemed within 30 days.,3,7725.28,14.96622907,2.08960612,99.73690612000001,0.26309366,208.05,6.32,Aditya Birla Sun Life Arbitrage Fund Direct Growth,Low,Hybrid,3.96,4.72,5.57,https://groww.in/mutual-funds/birla-sun-life-enhanced-arbitrage-fund-direct-growth
690,UTI Arbitrage Fund Direct Growth,"₹5,261.27Cr",30.07,"For units in excess of 10% of the investment, 0.25% will be charged for redemption within 21 days.",3,500.0,20.08374101,2.33718065,40.68936011,59.31063919,94.9,5.1,UTI Arbitrage Fund Direct Growth,Low,Hybrid,3.92,4.7,5.58,https://groww.in/mutual-funds/uti-spread-fund-direct-growth
